"TOA5","CR1000XSeries","CR1000X","11356","CR1000X.Std.03.02","CPU:Programme_CS_2sec_thermocouple.CR1X","15778","TenSec"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Avg","CDM1BattV_Min","CDM1PTempC1","CDM1PTempC2","CDM1PTempC3","CDM1PTempC4","AirTC_Avg","AirTC_Min","AirTC_Max","RH_Avg","RH_Min","RH_Max","WindDir","WS_ms_Avg","WS_ms","WS_ms_Min","WS_ms_Max","WS_ms_S_WVT","WindDir_D1_WVT","WSDiag","SmplsF_Tot","Diag1F_Tot","Diag2F_Tot","Diag4F_Tot","Diag8F_Tot","Diag9F_Tot","Diag10F_Tot","NNDF_Tot","CSEF_Tot","SR01Up_1_Avg","SR01Dn_1_Avg","IR01Up_1_Avg","IR01Dn_1_Avg","NR01TC_1_Avg","NR01TK_1_Avg","NetRs_1_Avg","NetRl_1_Avg","Albedo_1_Avg","UpTot_1_Avg","DnTot_1_Avg","NetTot_1_Avg","IR01UpCo_1_Avg","IR01DnCo_1_Avg","SR01Up_2_Avg","SR01Dn_2_Avg","IR01Up_2_Avg","IR01Dn_2_Avg","NR01TC_2_Avg","NR01TK_2_Avg","NetRs_2_Avg","NetRl_2_Avg","Albedo_2_Avg","UpTot_2_Avg","DnTot_2_Avg","NetTot_2_Avg","IR01UpCo_2_Avg","IR01DnCo_2_Avg","SR01Up_3_Avg","SR01Dn_3_Avg","IR01Up_3_Avg","IR01Dn_3_Avg","NR01TC_3_Avg","NR01TK_3_Avg","NetRs_3_Avg","NetRl_3_Avg","Albedo_3_Avg","UpTot_3_Avg","DnTot_3_Avg","NetTot_3_Avg","IR01UpCo_3_Avg","IR01DnCo_3_Avg","Temp_C_Avg(1)","Temp_C_Max(1)","Temp_C_Min(1)","Temp_C(1)","Temp_C_Std(1)","Temp_C_Avg(2)","Temp_C_Max(2)","Temp_C_Min(2)","Temp_C(2)","Temp_C_Std(2)"
"TS","RN","Volts","Deg C","Volts","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","%","%","%","degrees","meters/second","meters/second","meters/second","meters/second","meters/second","Deg","unitless","","","","","","","","","","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Min","Avg","Min","Smp","Smp","Smp","Smp","Avg","Min","Max","Avg","Min","Max","Smp","Avg","Smp","Min","Max","WVc","WVc","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Min","Smp","Std","Avg","Max","Min","Smp","Std"
"2023-05-09 14:11:40",0,12.64,21.11,12.68,21.2,21.2,21.2,21.2,21.96,21.96,21.96,58.61,58.61,58.61,"NAN",0.01,0.01,0.01,0.01,0.01,0,0,1,0,0,0,0,0,0,0,0,1.334,0.361,2.301,1.583,21.68,294.8,0.973,0.718,0.271,3.636,1.944,1.692,430.7,430,0.473,1.234,0.909,4.21,21.72,294.9,-0.76,-3.301,2.606,1.382,5.443,-4.061,429.6,432.9,0.57,0.175,1.52,1.371,21.75,294.9,0.396,0.15,0.306,2.091,1.546,0.545,430.3,430.2,21.83,21.83,21.83,21.83,0,22.53,22.53,22.53,22.53,0
"2023-05-09 14:11:50",1,12.64,21.11,12.68,21.21,21.21,21.21,21.2,22.07,21.97,22.19,58.71,58.6,58.81,"NAN",0.006,0.01,0,0.01,0.006,0,0,5,0,0,0,0,0,0,0,0,1.344,0.36,2.309,1.582,21.7,294.8,0.984,0.727,0.268,3.653,1.942,1.711,430.8,430.1,0.478,1.24,0.913,4.221,21.72,294.9,-0.762,-3.307,2.594,1.391,5.461,-4.069,429.5,432.8,0.576,0.176,1.526,1.377,21.75,294.9,0.401,0.148,0.305,2.102,1.553,0.549,430.4,430.2,21.82,21.84,21.8,21.82,0.017,22.56,22.59,22.54,22.56,0.018
"2023-05-09 14:12:00",2,12.64,21.11,12.67,21.23,21.22,21.21,21.21,22.01,21.96,22.08,58.67,58.62,58.72,"NAN",0.01,0.01,0.01,0.01,0.01,0,0,5,0,0,0,0,0,0,0,0,1.347,0.363,2.322,1.573,21.7,294.8,0.984,0.749,0.27,3.669,1.936,1.732,430.8,430.1,0.478,1.242,0.912,4.239,21.71,294.9,-0.764,-3.326,2.597,1.391,5.481,-4.09,429.5,432.9,0.58,0.176,1.515,1.38,21.75,294.9,0.405,0.135,0.303,2.095,1.556,0.539,430.3,430.2,21.81,21.83,21.79,21.82,0.014,22.56,22.59,22.53,22.53,0.02
"2023-05-09 14:12:10",3,12.64,21.11,12.67,21.24,21.23,21.22,21.22,21.99,21.96,22.07,58.68,58.67,58.72,"NAN",0.01,0.01,0.01,0.01,0.01,0,0,5,0,0,0,0,0,0,0,0,1.346,0.361,2.33,1.562,21.7,294.9,0.985,0.768,0.268,3.676,1.923,1.753,430.9,430.1,0.477,1.251,0.897,4.244,21.72,294.9,-0.774,-3.347,2.621,1.374,5.494,-4.12,429.6,432.9,0.578,0.173,1.514,1.348,21.76,294.9,0.406,0.166,0.298,2.092,1.52,0.572,430.4,430.2,21.82,21.83,21.8,21.82,0.013,22.56,22.58,22.55,22.55,0.015
"2023-05-09 14:12:20",4,12.64,21.11,12.67,21.26,21.24,21.23,21.22,22.03,21.98,22.07,58.73,58.66,58.77,"NAN",0.016,0.01,0.01,0.02,0.016,0,0,5,0,0,0,0,0,0,0,0,1.347,0.356,2.339,1.565,21.7,294.9,0.991,0.775,0.264,3.686,1.92,1.765,430.9,430.1,0.475,1.256,0.886,4.235,21.72,294.9,-0.781,-3.349,2.642,1.361,5.491,-4.13,429.6,432.9,0.578,0.173,1.502,1.327,21.76,294.9,0.405,0.175,0.3,2.081,1.5,0.58,430.4,430.2,21.8,21.82,21.79,21.8,0.011,22.59,22.61,22.55,22.6,0.02
"2023-05-09 14:12:30",5,12.64,21.12,12.67,21.27,21.25,21.23,21.23,21.99,21.96,22.07,58.68,58.66,58.73,"NAN",0.012,0.01,0.01,0.02,0.012,0,0,5,0,0,0,0,0,0,0,0,1.338,0.354,2.357,1.566,21.7,294.9,0.984,0.791,0.264,3.695,1.92,1.775,430.9,430.1,0.467,1.209,0.889,4.237,21.73,294.9,-0.742,-3.349,2.588,1.356,5.446,-4.09,429.6,432.9,0.578,0.174,1.51,1.315,21.76,294.9,0.404,0.195,0.301,2.088,1.489,0.599,430.4,430.2,21.8,21.81,21.78,21.78,0.01,22.59,22.6,22.56,22.59,0.013
"2023-05-09 15:01:40",6,12.67,21.4,12.71,21.37,21.44,21.45,21.46,21.01,20.99,21.03,59.57,59.57,59.58,7,0.735,0.62,0.62,0.85,0.735,0.5,0,2,0,0,0,0,0,0,0,0,17.97,3.152,-2.26,-0.335,21.55,294.7,14.82,-1.925,0.176,15.71,2.817,12.89,425.4,427.3,11.18,3.438,-3.32,-1.231,21.56,294.7,7.742,-2.088,0.308,7.86,2.206,5.654,424.4,426.5,4.627,2.227,-1.815,-4.146,21.54,294.7,2.4,2.331,0.48,2.812,-1.919,4.732,425.8,423.5,20.88,20.88,20.88,20.88,0.001,21.27,21.27,21.26,21.26,0.006
"2023-05-09 15:01:50",7,12.68,21.4,12.7,21.37,21.44,21.45,21.46,20.92,20.9,20.99,59.53,59.53,59.54,357,0.91,0.95,0.66,1.01,0.91,0.598,0,5,0,0,0,0,0,0,0,0,30.39,4.02,-2.292,1.181,21.54,294.7,26.37,-3.473,0.135,28.09,5.201,22.89,425.3,428.8,21.81,5.426,-2.384,-0.784,21.56,294.7,16.38,-1.6,0.264,19.42,4.642,14.78,425.4,427,10.04,6.043,-0.928,-2.56,21.53,294.7,3.995,1.632,0.581,9.11,3.483,5.627,426.6,425,21.01,21.06,20.95,21.06,0.041,21.25,21.26,21.24,21.25,0.006
"2023-05-09 15:02:00",8,12.66,21.4,12.7,21.37,21.44,21.45,21.46,21.04,21.01,21.13,59.36,59.2,59.52,160,0.712,0.53,0.49,0.9,0.712,56.73,0,5,0,0,0,0,0,0,0,0,80.9,21.13,-6.761,1.042,21.55,294.7,59.77,-7.803,0.241,74.14,22.17,51.97,420.9,428.7,35.79,73.84,-0.632,-5.767,21.56,294.7,-38.05,5.135,2.905,35.16,68.07,-32.91,427.1,422,51.93,21.73,-3.175,2.083,21.54,294.7,30.2,-5.258,0.447,48.76,23.82,24.94,424.4,429.7,21.16,21.29,21.01,21.29,0.104,21.29,21.36,21.23,21.36,0.053
