     TIME STAMP	STEP COUNT	     X	     Y	     Z	  Distance	    degree	    latitude	   longitude	    GpsAccuracy	 indoor_outdoor_flag	   TagName

   15:27:49.625	        0	 -0,00	 -0,00	 -0,00	      0,00	     44,00	   47,207074	   -1,557256	          15,87	                   I	          
   15:27:52.558	        1	  0,29	 -0,09	 -0,00	      0,30	     74,00	   47,207074	   -1,557256	          15,87	                   I	          
   15:27:53.551	        2	  0,01	 -0,00	  0,09	      0,60	     46,00	   47,207057	   -1,557265	          22,72	                   I	          
   15:27:59.276	        3	  0,05	 -0,72	  0,09	      1,34	    135,00	   47,207058	   -1,557235	          23,30	                   I	          
   15:28:01.206	        4	  1,04	 -1,63	  0,09	      2,68	    128,00	   47,207058	   -1,557235	          23,30	                   I	          
   15:28:02.746	        5	  1,78	 -1,05	  0,09	      3,61	     37,00	   47,207058	   -1,557235	          23,30	                   I	          
   15:28:15.080	        6	  1,45	 -0,66	  0,09	      4,12	     30,00	   47,207018	   -1,557008	          23,83	                   I	       511
   15:28:17.319	        7	  1,14	  0,12	  0,09	      4,97	     42,00	   47,207018	   -1,557008	          23,83	                   I	          
   15:28:19.492	        8	  0,77	  1,04	  0,09	      5,95	     51,00	   47,207047	   -1,557085	          26,45	                   I	          
   15:28:21.598	        9	  0,40	  1,83	  0,09	      6,84	     66,00	   47,207047	   -1,557085	          26,45	                   I	          
   15:28:23.535	       10	  0,02	  2,55	  0,09	      7,65	     73,00	   47,207078	   -1,557255	          32,17	                   I	          
