"TOA5","CR1000XSeries","CR1000X","11356","CR1000X.Std.03.02","CPU:Programme_CS_2sec_thermocouple.CR1X","15778","TwoSec"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Avg","CDM1BattV_Min","CDM1PTempC1","CDM1PTempC2","CDM1PTempC3","CDM1PTempC4","AirTC_Avg","AirTC_Min","AirTC_Max","RH_Avg","RH_Min","RH_Max","WindDir","WS_ms_Avg","WS_ms","WS_ms_Min","WS_ms_Max","WS_ms_S_WVT","WindDir_D1_WVT","WSDiag","SmplsF_Tot","Diag1F_Tot","Diag2F_Tot","Diag4F_Tot","Diag8F_Tot","Diag9F_Tot","Diag10F_Tot","NNDF_Tot","CSEF_Tot","SR01Up_1_Avg","SR01Dn_1_Avg","IR01Up_1_Avg","IR01Dn_1_Avg","NR01TC_1_Avg","NR01TK_1_Avg","NetRs_1_Avg","NetRl_1_Avg","Albedo_1_Avg","UpTot_1_Avg","DnTot_1_Avg","NetTot_1_Avg","IR01UpCo_1_Avg","IR01DnCo_1_Avg","SR01Up_2_Avg","SR01Dn_2_Avg","IR01Up_2_Avg","IR01Dn_2_Avg","NR01TC_2_Avg","NR01TK_2_Avg","NetRs_2_Avg","NetRl_2_Avg","Albedo_2_Avg","UpTot_2_Avg","DnTot_2_Avg","NetTot_2_Avg","IR01UpCo_2_Avg","IR01DnCo_2_Avg","SR01Up_3_Avg","SR01Dn_3_Avg","IR01Up_3_Avg","IR01Dn_3_Avg","NR01TC_3_Avg","NR01TK_3_Avg","NetRs_3_Avg","NetRl_3_Avg","Albedo_3_Avg","UpTot_3_Avg","DnTot_3_Avg","NetTot_3_Avg","IR01UpCo_3_Avg","IR01DnCo_3_Avg","Temp_C_Avg(1)","Temp_C_Max(1)","Temp_C_Min(1)","Temp_C(1)","Temp_C_Std(1)","Temp_C_Avg(2)","Temp_C_Max(2)","Temp_C_Min(2)","Temp_C(2)","Temp_C_Std(2)"
"TS","RN","Volts","Deg C","Volts","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","%","%","%","degrees","meters/second","meters/second","meters/second","meters/second","meters/second","Deg","unitless","","","","","","","","","","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Min","Avg","Min","Smp","Smp","Smp","Smp","Avg","Min","Max","Avg","Min","Max","Smp","Avg","Smp","Min","Max","WVc","WVc","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Min","Smp","Std","Avg","Max","Min","Smp","Std"
"2023-05-09 14:11:40",0,12.64,21.11,12.68,21.2,21.2,21.2,21.2,21.96,21.96,21.96,58.61,58.61,58.61,"NAN",0.01,0.01,0.01,0.01,0.01,0,0,1,0,0,0,0,0,0,0,0,1.334,0.361,2.301,1.583,21.68,294.8,0.973,0.718,0.271,3.636,1.944,1.692,430.7,430,0.473,1.234,0.909,4.21,21.72,294.9,-0.76,-3.301,2.606,1.382,5.443,-4.061,429.6,432.9,0.57,0.175,1.52,1.371,21.75,294.9,0.396,0.15,0.306,2.091,1.546,0.545,430.3,430.2,21.83,21.83,21.83,21.83,0,22.53,22.53,22.53,22.53,0
"2023-05-09 14:11:42",1,12.64,21.11,12.68,21.2,21.2,21.2,21.2,21.97,21.97,21.97,58.61,58.61,58.61,"NAN",0.01,0.01,0.01,0.01,0.01,0,0,1,0,0,0,0,0,0,0,0,1.339,0.362,2.298,1.58,21.7,294.9,0.977,0.718,0.27,3.637,1.942,1.695,430.8,430.1,0.475,1.235,0.906,4.211,21.72,294.9,-0.761,-3.305,2.602,1.381,5.446,-4.065,429.5,432.8,0.58,0.176,1.533,1.364,21.76,294.9,0.403,0.169,0.304,2.112,1.54,0.572,430.4,430.2,21.8,21.8,21.8,21.8,0,22.56,22.56,22.56,22.56,0
"2023-05-09 14:11:44",2,12.65,21.11,12.68,21.21,21.21,21.2,21.2,21.98,21.98,21.98,58.6,58.6,58.6,"NAN",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.348,0.362,2.296,1.582,21.69,294.8,0.986,0.714,0.268,3.644,1.944,1.7,430.8,430.1,0.478,1.24,0.918,4.225,21.72,294.9,-0.762,-3.306,2.596,1.396,5.465,-4.069,429.6,432.9,0.574,0.173,1.527,1.378,21.75,294.9,0.4,0.149,0.302,2.101,1.551,0.55,430.4,430.2,21.84,21.84,21.84,21.84,0,22.59,22.59,22.59,22.59,0
"2023-05-09 14:11:46",3,12.65,21.11,12.68,21.21,21.21,21.21,21.2,22.19,22.19,22.19,58.81,58.81,58.81,"NAN",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.346,0.36,2.315,1.584,21.7,294.8,0.987,0.731,0.267,3.661,1.944,1.718,430.8,430.1,0.479,1.237,0.915,4.219,21.71,294.9,-0.758,-3.304,2.583,1.394,5.456,-4.062,429.5,432.8,0.578,0.176,1.53,1.382,21.75,294.9,0.402,0.148,0.305,2.108,1.558,0.55,430.4,430.2,21.84,21.84,21.84,21.84,0,22.54,22.54,22.54,22.54,0
"2023-05-09 14:11:48",4,12.65,21.11,12.68,21.21,21.21,21.21,21.2,22.18,22.18,22.18,58.81,58.81,58.81,"NAN",0.01,0.01,0.01,0.01,0.01,0,0,1,0,0,0,0,0,0,0,0,1.346,0.36,2.315,1.58,21.7,294.9,0.986,0.735,0.267,3.661,1.94,1.721,430.9,430.1,0.481,1.243,0.911,4.222,21.72,294.9,-0.763,-3.311,2.586,1.392,5.465,-4.073,429.5,432.8,0.574,0.175,1.521,1.382,21.75,294.9,0.4,0.14,0.304,2.096,1.556,0.539,430.3,430.2,21.8,21.8,21.8,21.8,0,22.54,22.54,22.54,22.54,0
"2023-05-09 14:11:50",5,12.65,21.11,12.68,21.21,21.21,21.21,21.2,22.06,22.06,22.06,58.72,58.72,58.72,"NAN",0.01,0.01,0.01,0.01,0.01,0,0,1,0,0,0,0,0,0,0,0,1.343,0.358,2.319,1.584,21.7,294.8,0.985,0.735,0.267,3.663,1.943,1.72,430.8,430.1,0.478,1.244,0.917,4.227,21.72,294.9,-0.766,-3.31,2.604,1.395,5.471,-4.076,429.6,432.9,0.577,0.178,1.518,1.382,21.76,294.9,0.399,0.136,0.308,2.094,1.559,0.535,430.4,430.2,21.82,21.82,21.82,21.82,0,22.56,22.56,22.56,22.56,0
"2023-05-09 14:11:52",6,12.65,21.11,12.68,21.22,21.21,21.21,21.21,22.07,22.07,22.07,58.72,58.72,58.72,"NAN",0.01,0.01,0.01,0.01,0.01,0,0,1,0,0,0,0,0,0,0,0,1.347,0.36,2.317,1.582,21.7,294.9,0.987,0.735,0.267,3.664,1.943,1.722,430.9,430.1,0.478,1.24,0.92,4.232,21.72,294.9,-0.762,-3.312,2.596,1.398,5.472,-4.074,429.6,432.9,0.578,0.179,1.516,1.386,21.75,294.9,0.399,0.13,0.31,2.094,1.565,0.529,430.3,430.2,21.83,21.83,21.83,21.83,0,22.56,22.56,22.56,22.56,0
"2023-05-09 14:11:54",7,12.65,21.11,12.68,21.22,21.21,21.21,21.21,22.08,22.08,22.08,58.71,58.71,58.71,"NAN",0.01,0.01,0.01,0.01,0.01,0,0,1,0,0,0,0,0,0,0,0,1.346,0.364,2.317,1.571,21.7,294.8,0.982,0.746,0.271,3.664,1.935,1.728,430.8,430.1,0.48,1.238,0.909,4.237,21.72,294.9,-0.759,-3.328,2.583,1.388,5.475,-4.087,429.5,432.9,0.58,0.172,1.516,1.387,21.75,294.9,0.407,0.129,0.297,2.095,1.559,0.536,430.4,430.2,21.81,21.81,21.81,21.81,0,22.57,22.57,22.57,22.57,0
"2023-05-09 14:11:56",8,12.65,21.11,12.68,21.22,21.22,21.21,21.21,21.98,21.98,21.98,58.62,58.62,58.62,"NAN",0.01,0.01,0.01,0.01,0.01,0,0,1,0,0,0,0,0,0,0,0,1.347,0.362,2.322,1.57,21.69,294.8,0.985,0.753,0.269,3.67,1.932,1.737,430.8,430.1,0.483,1.246,0.914,4.239,21.71,294.9,-0.764,-3.326,2.583,1.396,5.486,-4.09,429.5,432.9,0.581,0.176,1.514,1.383,21.75,294.9,0.405,0.131,0.303,2.095,1.559,0.536,430.3,430.2,21.81,21.81,21.81,21.81,0,22.59,22.59,22.59,22.59,0
