     TIME STAMP	STEP COUNT	     X	     Y	     Z	  Distance	    degree	    latitude	   longitude	    GpsAccuracy	 indoor_outdoor_flag	   TagName

   15:22:16.603	      126	 28,75	-11,53	 -4,30	    146,65	     96,00	   47,206708	   -1,557099	           7,47	                   I	       508
   15:22:18.758	      127	 29,71	-11,78	 -4,30	    147,64	    131,00	   47,206703	   -1,557099	           7,45	                   I	          
   15:22:20.611	      128	 30,71	-12,36	 -4,30	    148,80	    109,00	   47,206696	   -1,557096	           7,62	                   I	          
   15:22:22.947	      129	 31,67	-12,97	 -4,22	    149,94	    117,00	   47,206690	   -1,557103	           7,83	                   I	          
   15:22:24.518	      130	 32,71	-13,65	 -4,22	    151,18	    122,00	   47,206685	   -1,557096	           7,97	                   I	          
   15:22:26.236	      131	 33,76	-14,43	 -4,22	    152,48	    136,00	   47,206679	   -1,557092	           8,02	                   I	          
   15:22:28.123	      132	 34,79	-14,98	 -4,22	    153,66	    131,00	   47,206677	   -1,557092	           8,11	                   I	          
   15:22:30.414	      133	 35,65	-15,53	 -4,22	    154,68	    115,00	   47,206671	   -1,557080	           8,48	                   I	          
   15:22:31.761	      134	 36,80	-16,02	 -4,22	    155,93	    100,00	   47,206669	   -1,557076	           8,54	                   I	          
   15:22:34.237	      135	 37,98	-16,17	 -4,22	    157,11	     79,00	   47,206673	   -1,557046	           8,71	                   I	          
   15:22:35.681	      136	 39,06	-16,25	 -4,22	    158,20	     96,00	   47,206675	   -1,557034	           8,76	                   I	          
   15:22:38.196	      137	 40,28	-16,33	 -4,22	    159,42	     72,00	   47,206676	   -1,557012	           8,95	                   I	          
   15:22:39.862	      138	 41,31	-15,89	 -4,22	    160,54	     48,00	   47,206703	   -1,556961	           9,14	                   I	          
   15:22:41.749	      139	 40,75	-14,72	 -4,22	    161,85	    326,00	   47,206713	   -1,556940	           8,97	                   I	          
   15:22:43.618	      140	 39,78	-14,02	 -4,22	    163,04	    195,00	   47,206714	   -1,556865	           8,83	                   I	          
   15:22:45.860	      141	 39,09	-13,65	 -4,22	    163,83	    359,00	   47,206715	   -1,556815	           6,98	                   I	          
   15:22:47.795	      142	 38,20	-12,79	 -4,22	    165,06	    333,00	   47,206716	   -1,556796	           5,37	                   I	          
   15:22:49.364	      143	 37,06	-12,15	 -4,22	    166,37	     84,00	   47,206719	   -1,556770	           5,29	                   I	          
   15:22:51.153	      144	 35,86	-11,48	 -4,22	    167,74	     20,00	   47,206722	   -1,556758	           5,39	                   I	          
   15:22:52.955	      145	 34,69	-10,94	 -4,22	    169,04	    315,00	   47,206727	   -1,556744	           5,29	                   I	          
   15:22:54.706	      146	 33,58	-10,34	 -4,22	    170,29	    333,00	   47,206728	   -1,556745	           4,88	                   I	          
   15:22:56.659	      147	 32,58	 -9,79	 -4,22	    171,44	     91,00	   47,206724	   -1,556754	           5,62	                   I	          
   15:22:58.630	      148	 31,90	 -9,02	 -4,22	    172,46	    352,00	   47,206716	   -1,556767	           6,43	                   I	          
   15:23:00.297	      149	 31,75	 -8,33	 -4,22	    173,17	      9,00	   47,206707	   -1,556790	           6,74	                   I	          
   15:23:15.376	      150	 31,68	 -7,34	 -4,22	    174,17	     62,00	   47,206678	   -1,556947	           6,60	                   I	       509
   15:23:17.436	      151	 31,13	 -6,25	 -4,22	    175,40	    357,00	   47,206682	   -1,556941	           7,28	                   I	          
   15:23:19.606	      152	 30,61	 -5,11	 -4,22	    176,64	     41,00	   47,206685	   -1,556930	           8,00	                   I	          
   15:23:21.577	      153	 30,20	 -4,13	 -4,22	    177,71	     13,00	   47,206687	   -1,556916	           8,00	                   I	          
   15:23:23.479	      154	 29,97	 -3,02	 -4,22	    178,85	     19,00	   47,206688	   -1,556902	           8,00	                   I	          
   15:23:25.410	      155	 29,89	 -1,76	 -4,22	    180,10	     33,00	   47,206687	   -1,556876	           8,00	                   I	          
   15:23:27.525	      156	 29,76	 -0,50	 -4,22	    181,37	     46,00	   47,206686	   -1,556866	           8,00	                   I	          
   15:23:29.188	      157	 29,71	  0,75	 -4,22	    182,63	     36,00	   47,206685	   -1,556860	          10,29	                   I	          
   15:23:31.028	      158	 29,65	  1,99	 -4,22	    183,87	     61,00	   47,206681	   -1,556878	          11,87	                   I	          
   15:23:32.828	      159	 29,56	  3,27	 -4,22	    185,15	     63,00	   47,206679	   -1,556892	          12,20	                   I	          
   15:23:34.764	      160	 29,46	  4,51	 -4,22	    186,39	     41,00	   47,206677	   -1,556904	           9,94	                   I	          
   15:23:36.752	      161	 29,39	  5,84	 -4,22	    187,72	     38,00	   47,206676	   -1,556923	           8,00	                   I	          
   15:23:38.545	      162	 29,28	  7,06	 -4,22	    188,95	     43,00	   47,206683	   -1,556944	          11,87	                   I	          
   15:23:40.392	      163	 29,14	  8,19	 -4,22	    190,09	     36,00	   47,206683	   -1,556944	          11,87	                   I	          
   15:23:42.329	      164	 28,96	  9,30	 -4,22	    191,21	     29,00	   47,206704	   -1,556935	          34,24	                   I	          
   15:23:44.263	      165	 28,90	 10,31	 -4,22	    192,22	     34,00	   47,206720	   -1,556917	          27,42	                   I	          
   15:23:46.418	      166	 28,78	 11,47	 -4,22	    193,39	     41,00	   47,206736	   -1,556908	          15,47	                   I	          
   15:23:48.354	      167	 28,70	 12,58	 -4,22	    194,51	    103,00	   47,206744	   -1,556903	          12,00	                   I	          
   15:23:50.511	      168	 28,19	 13,64	 -4,22	    195,68	     63,00	   47,206751	   -1,556899	          13,34	                   I	          
   15:23:52.099	      169	 27,02	 13,92	 -4,22	    196,88	     80,00	   47,206772	   -1,556888	          18,10	                   I	          
   15:23:54.155	      170	 25,86	 13,98	 -4,22	    198,05	    282,00	   47,206786	   -1,556884	          17,59	                   I	          
   15:23:55.869	      171	 24,65	 14,37	 -4,22	    199,31	    219,00	   47,206789	   -1,556884	          15,73	                   I	          
   15:23:58.255	      172	 23,48	 14,82	 -4,22	    200,56	    344,00	   47,206789	   -1,556884	          15,73	                   I	          
   15:24:00.096	      173	 22,47	 15,21	 -4,22	    201,66	    239,00	   47,206793	   -1,556884	          64,43	                   I	          
   15:24:04.385	      174	 22,15	 15,43	 -4,22	    202,04	    238,00	   47,206876	   -1,556970	          55,06	                   I	          
   15:24:17.876	      175	 21,19	 15,22	 -4,22	    203,03	    190,00	   47,206820	   -1,557961	          36,56	                   I	          
   15:24:20.126	      176	 20,45	 14,64	 -4,22	    203,98	    203,00	   47,206807	   -1,558008	          33,39	                   I	          
   15:24:22.101	      177	 20,12	 14,21	 -4,22	    204,52	    196,00	   47,206807	   -1,558008	          33,39	                   I	       510	          
