     TIME STAMP	STEP COUNT	     X	     Y	     Z	  Distance	    degree	    latitude	   longitude	    GpsAccuracy	 indoor_outdoor_flag	   TagName

   10:59:09.589	        0	  0,19	 -0,02	 -0,00	      0,19	    250,00	   47,207082	   -1,557369	          20,79	                   I	          
   10:59:09.593	        1	  0,19	 -0,02	 -0,00	      0,19	    250,00	   47,207082	   -1,557369	          20,79	                   I	          
   10:59:10.509	        2	  0,01	 -0,39	 -0,00	      0,59	    259,00	   47,207082	   -1,557369	          20,79	                   I	          
   10:59:11.739	        3	 -0,10	  0,04	 -0,00	      1,04	    249,00	   47,207082	   -1,557369	          20,79	                   I	          
   11:00:10.019	        4	  0,24	  0,18	 -0,00	      1,47	    242,00	   47,207108	   -1,557381	          18,36	                   I	          
   11:00:11.742	        5	  0,11	  1,45	 -0,00	      2,74	    299,00	   47,207108	   -1,557381	          18,36	                   I	          
   11:00:13.227	        6	 -0,65	  2,11	 -0,00	      3,75	    251,00	   47,207108	   -1,557381	          18,36	                   I	          
   11:00:15.236	        7	 -0,56	  1,85	 -0,00	      4,03	    242,00	   47,207078	   -1,557327	          26,59	                   I	          
   11:00:16.269	        8	 -0,51	  1,74	 -0,00	      4,15	    225,00	   47,207078	   -1,557327	          26,59	                   I	          
   11:00:17.819	        9	  0,12	  0,61	 -0,00	      5,44	    206,00	   47,207078	   -1,557327	          26,59	                   I	          
   11:00:19.110	       10	 -0,12	 -0,07	 -0,00	      6,17	    235,00	   47,207066	   -1,557344	          40,05	                   I	          
   11:01:21.121	       11	  0,01	 -0,12	 -0,00	      6,37	    148,00	   47,207100	   -1,557310	          26,40	                   I	          
   11:01:42.998	       12	 -0,35	  0,04	 -0,00	      6,78	    149,00	   47,207104	   -1,557362	          20,59	                   I	          
   11:01:46.997	       13	 -0,71	  0,82	 -0,00	      7,64	     35,00	   47,207142	   -1,557343	          16,11	                   I	          
   11:01:49.004	       14	 -1,28	  1,83	 -0,00	      8,79	     16,00	   47,207108	   -1,557432	          17,33	                   I	          
   11:01:50.741	       15	 -1,68	  2,87	 -0,00	      9,91	     10,00	   47,207108	   -1,557432	          17,33	                   I	          
   11:01:52.445	       16	 -2,26	  3,85	 -0,00	     11,06	    323,00	   47,207108	   -1,557432	          17,33	                   I	          
   11:01:53.933	       17	 -2,56	  4,43	 -0,00	     11,70	    302,00	   47,207108	   -1,557406	          15,96	                   I	          
   11:01:55.949	       18	 -3,20	  5,37	 -0,00	     12,84	    271,00	   47,207108	   -1,557406	          15,96	                   I	          
   11:01:57.571	       19	 -3,88	  6,16	 -0,00	     13,89	    263,00	   47,207108	   -1,557406	          15,96	                   I	          
   11:01:59.192	       20	 -4,80	  6,89	 -0,00	     15,06	    256,00	   47,207137	   -1,557395	          15,94	                   I	          
   11:02:00.626	       21	 -5,61	  7,49	 -0,00	     16,07	    246,00	   47,207137	   -1,557395	          15,94	                   I	          
   11:02:01.934	       22	 -5,95	  7,58	 -0,00	     16,42	    237,00	   47,207137	   -1,557395	          15,94	                   I	          
   11:02:28.571	       23	 -7,00	  7,36	 -0,00	     17,51	    242,00	   47,207138	   -1,557397	          19,42	                   I	       301
   11:02:30.560	       24	 -8,17	  6,84	 -0,00	     18,78	    237,00	   47,207122	   -1,557414	          17,14	                   I	          
   11:02:32.311	       25	 -9,37	  6,33	 -0,00	     20,09	    237,00	   47,207122	   -1,557414	          17,14	                   I	          
   11:02:34.152	       26	-10,59	  5,88	 -0,00	     21,39	    240,00	   47,207122	   -1,557416	          18,09	                   I	          
   11:02:36.091	       27	-11,75	  5,70	 -0,00	     22,57	    265,00	   47,207122	   -1,557416	          18,09	                   I	          
   11:02:37.979	       28	-12,94	  5,65	 -0,00	     23,75	    266,00	   47,207122	   -1,557416	          18,09	                   I	          
   11:02:39.864	       29	-14,20	  5,71	 -0,00	     25,02	    247,00	   47,207118	   -1,557416	          20,00	                   I	          
   11:02:41.622	       30	-15,49	  5,61	 -0,00	     26,31	    251,00	   47,207117	   -1,557412	          22,30	                   I	          
   11:02:43.709	       31	-16,74	  5,63	 -0,00	     27,56	    252,00	   47,207119	   -1,557412	          25,72	                   I	          
   11:02:45.645	       32	-18,01	  5,87	 -0,00	     28,85	    276,00	   47,207121	   -1,557408	          35,80	                   I	          
   11:02:47.245	       33	-19,22	  6,46	 -0,00	     30,20	    255,00	   47,207124	   -1,557409	          36,96	                   I	          
   11:02:49.265	       34	-20,32	  7,15	 -0,00	     31,50	    268,00	   47,207128	   -1,557409	          42,57	                   I	          
   11:02:50.761	       35	-21,50	  7,73	 -0,00	     32,82	    253,00	   47,207128	   -1,557409	          42,57	                   I	          
   11:02:52.659	       36	-22,75	  8,24	 -0,00	     34,16	    277,00	   47,207128	   -1,557409	          42,57	                   I	          
   11:02:54.546	       37	-24,07	  8,68	 -0,00	     35,56	    283,00	   47,207135	   -1,557396	          49,38	                   I	          
   11:02:56.784	       38	-25,31	  9,03	 -0,00	     36,84	    274,00	   47,207134	   -1,557400	          49,22	                   I	          
   11:02:58.582	       39	-26,62	  9,39	 -0,00	     38,20	    235,00	   47,207138	   -1,557411	          41,71	                   I	          
   11:03:00.124	       40	-27,81	  9,66	 -0,00	     39,43	    202,00	   47,207138	   -1,557411	          41,71	                   I	          
   11:03:02.460	       41	-28,95	  9,99	  0,11	     40,61	    211,00	   47,207138	   -1,557411	          41,71	                   I	          
   11:03:04.303	       42	-30,01	 10,84	  0,11	     41,97	    122,00	   47,207088	   -1,557463	          36,51	                   I	          
   11:03:06.057	       43	-30,74	 11,89	  0,11	     43,25	    106,00	   47,207133	   -1,557447	          30,58	                   I	          
   11:03:08.144	       44	-31,50	 12,97	  0,11	     44,57	    113,00	   47,207148	   -1,557444	          29,65	                   I	          
   11:03:09.618	       45	-32,25	 14,05	  0,11	     45,88	    109,00	   47,207162	   -1,557459	          27,62	                   I	          
   11:03:11.372	       46	-33,00	 15,09	  0,11	     47,17	     97,00	   47,207169	   -1,557484	          28,73	                   I	          
   11:03:12.944	       47	-33,70	 16,12	  0,11	     48,42	     83,00	   47,207184	   -1,557543	          28,42	                   I	          
   11:03:15.014	       48	-34,49	 17,16	  0,11	     49,72	     15,00	   47,207192	   -1,557671	          26,32	                   I	          
   11:03:16.917	       49	-35,30	 18,22	  0,11	     51,05	     11,00	   47,207195	   -1,557800	          22,78	                   I	          
   11:03:18.615	       50	-35,96	 19,26	  0,11	     52,29	    345,00	   47,207221	   -1,557868	          17,20	                   I	          
   11:03:20.288	       51	-36,77	 20,25	  0,11	     53,56	    294,00	   47,207230	   -1,557885	          14,64	                   I	          
   11:03:21.757	       52	-37,68	 21,02	  0,11	     54,76	    273,00	   47,207246	   -1,557904	           9,33	                   I	          
   11:03:23.527	       53	-38,26	 21,19	  0,11	     55,36	    235,00	   47,207252	   -1,557914	           8,36	                   I	          
   11:03:32.967	       54	-39,04	 20,98	  0,11	     56,18	    254,00	   47,207265	   -1,557889	           5,47	                   I	       302
   11:03:34.769	       55	-40,21	 20,81	  0,11	     57,36	    257,00	   47,207271	   -1,557892	           5,43	                   I	          
   11:03:36.806	       56	-41,14	 20,62	  0,11	     58,31	    240,00	   47,207273	   -1,557896	           5,47	                   I	          
   11:03:38.652	       57	-42,28	 20,37	  0,11	     59,47	    241,00	   47,207278	   -1,557898	           5,40	                   I	          
   11:03:40.430	       58	-43,61	 20,10	  0,11	     60,83	    239,00	   47,207283	   -1,557902	           5,24	                   I	          
   11:03:42.607	       59	-44,92	 19,83	  0,11	     62,17	    226,00	   47,207284	   -1,557911	           5,27	                   I	          
   11:03:44.361	       60	-46,04	 19,59	  0,19	     63,32	    227,00	   47,207287	   -1,557916	           5,54	                   I	          
   11:03:46.418	       61	-47,31	 19,33	  0,19	     64,61	    234,00	   47,207288	   -1,557924	           5,80	                   I	          
   11:03:47.766	       62	-48,63	 19,01	  0,19	     65,98	    227,00	   47,207286	   -1,557930	           5,92	                   I	          
   11:03:49.920	       63	-49,96	 18,63	  0,19	     67,35	    229,00	   47,207283	   -1,557943	           6,29	                   I	          
   11:03:51.782	       64	-51,29	 18,22	  0,19	     68,75	    228,00	   47,207275	   -1,557972	           6,64	                   I	          
   11:03:53.668	       65	-52,59	 17,87	  0,19	     70,09	    227,00	   47,207266	   -1,557998	           6,76	                   I	          
   11:03:55.289	       66	-53,98	 17,62	  0,19	     71,50	    209,00	   47,207263	   -1,558008	           6,68	                   I	          
   11:03:57.544	       67	-55,38	 17,32	  0,19	     72,94	    201,00	   47,207252	   -1,558040	           6,10	                   I	          
   11:03:59.288	       68	-56,71	 17,04	  0,19	     74,30	    237,00	   47,207249	   -1,558052	           5,93	                   I	          
   11:04:00.871	       69	-58,03	 16,66	  0,19	     75,68	    230,00	   47,207243	   -1,558084	           5,56	                   I	          
   11:04:02.624	       70	-59,19	 16,42	  0,19	     76,85	    225,00	   47,207239	   -1,558108	           5,31	                   I	          
   11:04:04.246	       71	-60,34	 16,16	  0,19	     78,04	    225,00	   47,207238	   -1,558115	           5,24	                   I	          
   11:04:06.501	       72	-61,63	 15,68	  0,19	     79,41	    231,00	   47,207233	   -1,558133	           5,35	                   I	          
   11:04:08.087	       73	-62,83	 15,12	  0,19	     80,74	    224,00	   47,207229	   -1,558135	           5,61	                   I	          
   11:04:09.874	       74	-64,03	 14,53	  0,19	     82,08	    220,00	   47,207219	   -1,558149	           6,31	                   I	          
   11:04:11.898	       75	-65,09	 14,07	  0,19	     83,23	    224,00	   47,207203	   -1,558178	           6,86	                   I	          
   11:04:13.689	       76	-66,03	 13,79	  0,19	     84,21	    222,00	   47,207190	   -1,558201	           7,20	                   I	          
   11:04:15.942	       77	-67,35	 13,31	  0,27	     85,62	    225,00	   47,207184	   -1,558216	           7,19	                   I	          
   11:04:17.661	       78	-68,64	 13,00	  0,27	     86,94	    221,00	   47,207177	   -1,558232	           7,01	                   I	          
   11:04:19.363	       79	-70,04	 12,80	  0,27	     88,36	    221,00	   47,207174	   -1,558248	           6,92	                   I	          
   11:04:21.170	       80	-71,42	 12,59	  0,27	     89,76	    227,00	   47,207171	   -1,558254	           6,87	                   I	          
   11:04:22.829	       81	-72,62	 12,42	  0,27	     90,96	    223,00	   47,207165	   -1,558270	           6,86	                   I	          
   11:04:24.543	       82	-73,95	 12,28	  0,27	     92,30	    238,00	   47,207162	   -1,558288	           6,82	                   I	          
   11:04:26.378	       83	-75,27	 12,17	  0,27	     93,63	    241,00	   47,207162	   -1,558300	           6,87	                   I	          
   11:04:28.093	       84	-76,60	 12,07	  0,27	     94,96	    185,00	   47,207166	   -1,558328	           6,99	                   I	          
   11:04:29.982	       85	-78,01	 11,98	  0,27	     96,38	    225,00	   47,207169	   -1,558350	           7,02	                   I	          
   11:04:31.960	       86	-79,44	 11,93	  0,27	     97,80	    229,00	   47,207180	   -1,558411	           6,03	                   I	          
   11:04:33.719	       87	-80,79	 11,78	  0,27	     99,17	    225,00	   47,207182	   -1,558432	           5,36	                   I	          
   11:04:35.336	       88	-82,03	 11,76	  0,27	    100,41	    232,00	   47,207182	   -1,558443	           4,81	                   I	          
   11:04:37.510	       89	-83,39	 11,66	  0,27	    101,77	    225,00	   47,207181	   -1,558464	           4,53	                   I	          
   11:04:39.566	       90	-84,62	 11,61	  0,27	    103,00	    209,00	   47,207181	   -1,558484	           4,76	                   I	          
   11:04:41.416	       91	-85,92	 11,52	  0,27	    104,31	    229,00	   47,207179	   -1,558508	           5,15	                   I	          
   11:04:43.125	       92	-87,26	 11,40	  0,27	    105,65	    195,00	   47,207178	   -1,558522	           5,36	                   I	          
   11:04:45.062	       93	-88,61	 11,42	  0,27	    107,00	    211,00	   47,207175	   -1,558545	           5,39	                   I	          
   11:04:46.816	       94	-89,77	 11,44	  0,27	    108,16	    208,00	   47,207172	   -1,558564	           5,20	                   I	          
   11:04:48.304	       95	-91,05	 11,46	  0,27	    109,44	    220,00	   47,207171	   -1,558572	           5,08	                   I	          
   11:04:50.373	       96	-92,35	 11,47	  0,27	    110,74	    220,00	   47,207171	   -1,558590	           4,90	                   I	          
   11:04:52.031	       97	-93,74	 11,54	  0,27	    112,13	    231,00	   47,207169	   -1,558609	           5,01	                   I	          
   11:04:54.020	       98	-95,05	 11,46	  0,27	    113,44	    233,00	   47,207168	   -1,558631	           5,30	                   I	          
   11:04:55.958	       99	-96,39	 11,44	  0,27	    114,78	    230,00	   47,207168	   -1,558640	           5,30	                   I	          
   11:04:57.982	      100	-97,72	 11,32	  0,27	    116,12	    241,00	   47,207166	   -1,558654	           5,32	                   I	          
   11:04:59.635	      101	-98,91	 11,14	  0,27	    117,33	    228,00	   47,207163	   -1,558674	           5,44	                   I	          
   11:05:01.572	      102	-100,11	 10,95	  0,27	    118,54	    230,00	   47,207163	   -1,558691	           5,67	                   I	          
   11:05:03.550	      103	-101,23	 10,82	  0,27	    119,66	    232,00	   47,207162	   -1,558706	           5,93	                   I	          
   11:05:05.449	      104	-102,52	 10,81	  0,27	    120,95	    228,00	   47,207162	   -1,558713	           5,89	                   I	          
   11:05:07.159	      105	-103,62	 10,72	  0,27	    122,06	    216,00	   47,207161	   -1,558720	           5,84	                   I	          
   11:05:09.098	      106	-104,81	 10,60	  0,27	    123,26	    216,00	   47,207159	   -1,558735	           5,71	                   I	          
   11:05:10.884	      107	-106,14	 10,54	  0,27	    124,59	    210,00	   47,207158	   -1,558759	           5,79	                   I	          
   11:05:12.556	      108	-107,30	 10,45	  0,27	    125,75	    213,00	   47,207157	   -1,558781	           5,84	                   I	          
   11:05:14.528	      109	-108,60	 10,40	  0,27	    127,05	    222,00	   47,207156	   -1,558801	           5,91	                   I	          
   11:05:16.605	      110	-109,89	 10,27	  0,27	    128,35	    224,00	   47,207155	   -1,558833	           5,91	                   I	          
   11:05:18.499	      111	-111,19	 10,25	  0,27	    129,65	    216,00	   47,207153	   -1,558858	           5,89	                   I	          
   11:05:20.252	      112	-112,46	 10,17	  0,27	    130,92	    231,00	   47,207151	   -1,558873	           5,81	                   I	          
   11:05:21.922	      113	-113,44	 10,09	  0,35	    131,90	    224,00	   47,207150	   -1,558906	           5,90	                   I	          
   11:05:24.253	      114	-114,82	 10,02	  0,27	    133,30	    211,00	   47,207147	   -1,558932	           6,00	                   I	          
   11:05:26.191	      115	-116,01	 10,01	  0,27	    134,48	    214,00	   47,207146	   -1,558951	           6,02	                   I	          
   11:05:28.040	      116	-117,26	  9,91	  0,27	    135,74	    224,00	   47,207144	   -1,558967	           5,82	                   I	          
   11:05:30.198	      117	-118,47	  9,78	  0,27	    136,95	    231,00	   47,207142	   -1,558979	           5,64	                   I	          
   11:05:32.093	      118	-119,53	  9,73	  0,27	    138,02	    235,00	   47,207146	   -1,558982	           5,48	                   I	          
   11:05:34.060	      119	-120,75	  9,69	  0,27	    139,24	    241,00	   47,207145	   -1,558989	           5,50	                   I	          
