"TOA5","CR1000XSeries","CR1000X","11356","CR1000X.Std.03.02","CPU:Programme_CS_2sec_thermocouple.CR1X","15778","TwoSec"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Avg","CDM1BattV_Min","CDM1PTempC1","CDM1PTempC2","CDM1PTempC3","CDM1PTempC4","AirTC_Avg","AirTC_Min","AirTC_Max","RH_Avg","RH_Min","RH_Max","WindDir","WS_ms_Avg","WS_ms","WS_ms_Min","WS_ms_Max","WS_ms_S_WVT","WindDir_D1_WVT","WSDiag","SmplsF_Tot","Diag1F_Tot","Diag2F_Tot","Diag4F_Tot","Diag8F_Tot","Diag9F_Tot","Diag10F_Tot","NNDF_Tot","CSEF_Tot","SR01Up_1_Avg","SR01Dn_1_Avg","IR01Up_1_Avg","IR01Dn_1_Avg","NR01TC_1_Avg","NR01TK_1_Avg","NetRs_1_Avg","NetRl_1_Avg","Albedo_1_Avg","UpTot_1_Avg","DnTot_1_Avg","NetTot_1_Avg","IR01UpCo_1_Avg","IR01DnCo_1_Avg","SR01Up_2_Avg","SR01Dn_2_Avg","IR01Up_2_Avg","IR01Dn_2_Avg","NR01TC_2_Avg","NR01TK_2_Avg","NetRs_2_Avg","NetRl_2_Avg","Albedo_2_Avg","UpTot_2_Avg","DnTot_2_Avg","NetTot_2_Avg","IR01UpCo_2_Avg","IR01DnCo_2_Avg","SR01Up_3_Avg","SR01Dn_3_Avg","IR01Up_3_Avg","IR01Dn_3_Avg","NR01TC_3_Avg","NR01TK_3_Avg","NetRs_3_Avg","NetRl_3_Avg","Albedo_3_Avg","UpTot_3_Avg","DnTot_3_Avg","NetTot_3_Avg","IR01UpCo_3_Avg","IR01DnCo_3_Avg","Temp_C_Avg(1)","Temp_C_Max(1)","Temp_C_Min(1)","Temp_C(1)","Temp_C_Std(1)","Temp_C_Avg(2)","Temp_C_Max(2)","Temp_C_Min(2)","Temp_C(2)","Temp_C_Std(2)"
"TS","RN","Volts","Deg C","Volts","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","%","%","%","degrees","meters/second","meters/second","meters/second","meters/second","meters/second","Deg","unitless","","","","","","","","","","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Min","Avg","Min","Smp","Smp","Smp","Smp","Avg","Min","Max","Avg","Min","Max","Smp","Avg","Smp","Min","Max","WVc","WVc","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Min","Smp","Std","Avg","Max","Min","Smp","Std"
"2023-05-11 15:24:30",1393,12.59,20.55,12.61,20.9,20.9,20.77,20.83,18.15,18.15,18.15,48.35,48.35,48.35,"NAN",0.04,0.04,0.04,0.04,0.04,0,0,1,0,0,0,0,0,0,0,0,8.12,15.87,-0.405,3.671,19.68,292.8,-7.747,-4.076,1.953,7.719,19.54,-11.82,416.5,420.6,28.7,7.093,4.922,-0.395,19.54,292.7,21.61,5.317,0.247,33.63,6.699,26.93,421,415.7,105.1,8.22,2.418,5.58,19.73,292.9,96.8,-3.162,0.078,107.5,13.8,93.7,419.6,422.8,19.38,19.38,19.38,19.38,0,20.26,20.26,20.26,20.26,0
"2023-05-11 15:24:32",1394,12.59,20.55,12.6,20.9,20.9,20.77,20.83,18.14,18.14,18.14,48.28,48.28,48.28,295,0.06,0.06,0.06,0.06,0.06,295,0,1,0,0,0,0,0,0,0,0,7.859,15.5,-0.423,3.608,19.68,292.8,-7.644,-4.031,1.973,7.436,19.11,-11.68,416.5,420.5,28.03,6.977,4.922,-0.413,19.54,292.7,21.05,5.335,0.249,32.95,6.565,26.38,421,415.7,92.9,7.5,2.282,5.514,19.73,292.9,85.4,-3.232,0.081,95.2,13.01,82.2,419.5,422.7,19.37,19.37,19.37,19.37,0,20.25,20.25,20.25,20.25,0
"2023-05-11 15:24:34",1395,12.59,20.55,12.61,20.9,20.9,20.77,20.83,18.13,18.13,18.13,48.23,48.23,48.23,277,0.07,0.07,0.07,0.07,0.07,277,0,1,0,0,0,0,0,0,0,0,7.648,15.17,-0.449,3.573,19.68,292.8,-7.521,-4.022,1.983,7.199,18.74,-11.54,416.5,420.5,27.49,6.883,4.913,-0.433,19.55,292.7,20.61,5.346,0.25,32.41,6.45,25.96,421.1,415.7,84.1,6.976,2.15,5.471,19.73,292.9,77.1,-3.321,0.083,86.2,12.45,73.78,419.4,422.7,19.36,19.36,19.36,19.36,0,20.26,20.26,20.26,20.26,0
"2023-05-11 15:24:36",1396,12.59,20.55,12.61,20.9,20.9,20.78,20.83,18.13,18.13,18.13,48.23,48.23,48.23,331,0.07,0.07,0.07,0.07,0.07,331,0,1,0,0,0,0,0,0,0,0,7.49,14.94,-0.477,3.523,19.69,292.8,-7.454,-4,1.995,7.012,18.47,-11.45,416.5,420.5,27.1,6.823,4.893,-0.441,19.55,292.7,20.28,5.335,0.252,32,6.381,25.62,421,415.7,78.21,6.611,2.047,5.448,19.72,292.9,71.6,-3.401,0.085,80.3,12.06,68.2,419.2,422.6,19.31,19.31,19.31,19.31,0,20.21,20.21,20.21,20.21,0
"2023-05-11 15:24:38",1397,12.59,20.55,12.61,20.91,20.9,20.78,20.83,18.24,18.24,18.24,48.22,48.22,48.22,298,0.08,0.08,0.08,0.08,0.08,298,0,1,0,0,0,0,0,0,0,0,7.39,14.81,-0.479,3.473,19.7,292.8,-7.419,-3.953,2.004,6.911,18.28,-11.37,416.5,420.5,26.83,6.774,4.885,-0.465,19.54,292.7,20.06,5.35,0.252,31.72,6.31,25.41,421,415.7,75.06,6.39,1.986,5.405,19.74,292.9,68.67,-3.42,0.085,77.05,11.8,65.25,419.2,422.7,19.32,19.32,19.32,19.32,0,20.14,20.14,20.14,20.14,0
"2023-05-11 15:24:40",1398,12.59,20.55,12.61,20.91,20.9,20.78,20.83,18.26,18.26,18.26,48.15,48.15,48.15,273,0.07,0.07,0.07,0.07,0.07,273,0,1,0,0,0,0,0,0,0,0,7.33,14.76,-0.495,3.436,19.7,292.8,-7.425,-3.931,2.013,6.835,18.19,-11.36,416.5,420.5,26.72,6.766,4.86,-0.463,19.54,292.7,19.95,5.323,0.253,31.58,6.304,25.27,421,415.7,74.53,6.325,1.951,5.372,19.74,292.9,68.21,-3.421,0.085,76.48,11.7,64.79,419.2,422.6,19.34,19.34,19.34,19.34,0,20.07,20.07,20.07,20.07,0
"2023-05-11 15:24:42",1399,12.59,20.55,12.61,20.91,20.9,20.78,20.83,18.26,18.26,18.26,48.11,48.11,48.11,271,0.07,0.07,0.07,0.07,0.07,271,0,1,0,0,0,0,0,0,0,0,7.296,14.75,-0.498,3.383,19.68,292.8,-7.451,-3.881,2.021,6.798,18.13,-11.33,416.4,420.3,26.65,6.758,4.836,-0.429,19.55,292.7,19.9,5.265,0.254,31.49,6.328,25.16,421,415.7,74.11,6.292,1.903,5.335,19.74,292.9,67.82,-3.433,0.085,76.01,11.63,64.38,419.1,422.6,19.33,19.33,19.33,19.33,0,20.03,20.03,20.03,20.03,0
"2023-05-11 15:24:44",1400,12.59,20.55,12.61,20.91,20.9,20.78,20.83,18.21,18.21,18.21,48.05,48.05,48.05,292,0.06,0.06,0.06,0.06,0.06,292,0,1,0,0,0,0,0,0,0,0,7.261,14.74,-0.484,3.357,19.69,292.8,-7.483,-3.84,2.031,6.777,18.1,-11.32,416.5,420.3,26.62,6.753,4.827,-0.405,19.54,292.7,19.87,5.232,0.254,31.45,6.348,25.1,421,415.7,74.4,6.301,1.88,5.318,19.74,292.9,68.1,-3.438,0.085,76.28,11.62,64.66,419.2,422.6,19.32,19.32,19.32,19.32,0,20.04,20.04,20.04,20.04,0
"2023-05-11 15:24:46",1401,12.59,20.55,12.61,20.91,20.9,20.78,20.83,18.14,18.14,18.14,48,48,48,293,0.06,0.06,0.06,0.06,0.06,293,0,1,0,0,0,0,0,0,0,0,7.264,14.78,-0.477,3.344,19.69,292.8,-7.518,-3.822,2.035,6.787,18.13,-11.34,416.5,420.3,26.7,6.762,4.82,-0.395,19.55,292.7,19.94,5.215,0.253,31.52,6.367,25.15,421,415.8,77.37,6.45,1.868,5.314,19.74,292.9,70.92,-3.446,0.083,79.24,11.76,67.48,419.1,422.6,19.34,19.34,19.34,19.34,0,20.02,20.02,20.02,20.02,0
