"TOA5","CR1000XSeries","CR1000X","11356","CR1000X.Std.03.02","CPU:Programme_CS_2sec_thermocouple.CR1X","15778","TenSec"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Avg","CDM1BattV_Min","CDM1PTempC1","CDM1PTempC2","CDM1PTempC3","CDM1PTempC4","AirTC_Avg","AirTC_Min","AirTC_Max","RH_Avg","RH_Min","RH_Max","WindDir","WS_ms_Avg","WS_ms","WS_ms_Min","WS_ms_Max","WS_ms_S_WVT","WindDir_D1_WVT","WSDiag","SmplsF_Tot","Diag1F_Tot","Diag2F_Tot","Diag4F_Tot","Diag8F_Tot","Diag9F_Tot","Diag10F_Tot","NNDF_Tot","CSEF_Tot","SR01Up_1_Avg","SR01Dn_1_Avg","IR01Up_1_Avg","IR01Dn_1_Avg","NR01TC_1_Avg","NR01TK_1_Avg","NetRs_1_Avg","NetRl_1_Avg","Albedo_1_Avg","UpTot_1_Avg","DnTot_1_Avg","NetTot_1_Avg","IR01UpCo_1_Avg","IR01DnCo_1_Avg","SR01Up_2_Avg","SR01Dn_2_Avg","IR01Up_2_Avg","IR01Dn_2_Avg","NR01TC_2_Avg","NR01TK_2_Avg","NetRs_2_Avg","NetRl_2_Avg","Albedo_2_Avg","UpTot_2_Avg","DnTot_2_Avg","NetTot_2_Avg","IR01UpCo_2_Avg","IR01DnCo_2_Avg","SR01Up_3_Avg","SR01Dn_3_Avg","IR01Up_3_Avg","IR01Dn_3_Avg","NR01TC_3_Avg","NR01TK_3_Avg","NetRs_3_Avg","NetRl_3_Avg","Albedo_3_Avg","UpTot_3_Avg","DnTot_3_Avg","NetTot_3_Avg","IR01UpCo_3_Avg","IR01DnCo_3_Avg","Temp_C_Avg(1)","Temp_C_Max(1)","Temp_C_Min(1)","Temp_C(1)","Temp_C_Std(1)","Temp_C_Avg(2)","Temp_C_Max(2)","Temp_C_Min(2)","Temp_C(2)","Temp_C_Std(2)"
"TS","RN","Volts","Deg C","Volts","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","%","%","%","degrees","meters/second","meters/second","meters/second","meters/second","meters/second","Deg","unitless","","","","","","","","","","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Min","Avg","Min","Smp","Smp","Smp","Smp","Avg","Min","Max","Avg","Min","Max","Smp","Avg","Smp","Min","Max","WVc","WVc","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Min","Smp","Std","Avg","Max","Min","Smp","Std"
"2023-05-11 11:13:10",0,12.57,17.71,12.62,18.07,18.08,17.96,18.03,14.28,14.28,14.28,56.15,56.15,56.15,358,0.14,0.14,0.14,0.14,0.14,358,0,1,0,0,0,0,0,0,0,0,1.051,0.321,-1.484,-1.397,16.48,289.6,0.729,-0.087,0.306,-0.434,-1.076,0.642,397.5,397.6,-1.747,2.249,-3.671,-3.291,17.12,290.3,-3.997,-0.38,-1.287,-5.418,-1.041,-4.377,398.9,399.2,1.39,-0.953,-1.009,-0.998,16.95,290.1,2.343,-0.011,-0.686,0.381,-1.951,2.332,400.6,400.6,14.81,14.81,14.81,14.81,0,14.92,14.92,14.92,14.92,0
"2023-05-11 11:13:20",1,12.58,17.72,12.61,18.07,18.09,17.97,18.04,14.24,14.22,14.28,55.99,55.92,56.1,"NAN",0.068,0.04,0.04,0.11,0.068,351.6,0,5,0,0,0,0,0,0,0,0,1.006,0.322,-1.509,-1.444,16.49,289.6,0.684,-0.064,0.32,-0.502,-1.122,0.62,397.6,397.6,-1.743,2.174,-3.7,-3.378,17.13,290.3,-3.917,-0.322,-1.247,-5.443,-1.204,-4.239,398.9,399.2,1.348,-0.955,-1.019,-1.017,16.95,290.1,2.303,-0.002,-0.709,0.329,-1.972,2.301,400.6,400.6,14.76,14.82,14.72,14.72,0.036,14.93,14.96,14.91,14.93,0.017
"2023-05-11 11:13:30",2,12.58,17.72,12.61,18.07,18.1,17.97,18.04,14.28,14.21,14.34,55.89,55.87,55.91,"NAN",0.046,0.02,0.02,0.07,0.046,300.5,0,5,0,0,0,0,0,0,0,0,0.979,0.341,-1.551,-1.542,16.5,289.6,0.638,-0.008,0.348,-0.571,-1.201,0.63,397.5,397.5,-1.749,2.053,-3.737,-3.508,17.14,290.3,-3.802,-0.229,-1.174,-5.486,-1.454,-4.031,398.9,399.1,1.29,-0.923,-1.051,-1.043,16.96,290.1,2.213,-0.008,-0.716,0.239,-1.966,2.205,400.6,400.6,14.68,14.72,14.65,14.68,0.02,14.96,15.01,14.91,14.99,0.037
"2023-05-11 11:13:40",3,12.59,17.72,12.61,18.08,18.1,17.98,18.05,14.25,14.21,14.33,55.81,55.76,55.89,305,0.078,0.08,0.05,0.09,0.078,330,0,5,0,0,0,0,0,0,0,0,0.875,0.261,-1.604,-1.634,16.5,289.6,0.614,0.03,0.297,-0.729,-1.373,0.644,397.5,397.4,-1.756,1.934,-3.791,-3.635,17.14,290.3,-3.69,-0.156,-1.101,-5.547,-1.7,-3.847,398.9,399,1.164,-0.977,-1.085,-1.077,16.96,290.1,2.141,-0.008,-0.841,0.08,-2.054,2.133,400.5,400.6,14.67,14.69,14.64,14.66,0.017,14.98,15.01,14.95,15.01,0.02
"2023-05-11 11:13:50",4,12.59,17.72,12.61,18.08,18.11,17.98,18.05,14.28,14.21,14.44,55.8,55.73,55.89,"NAN",0.048,0.04,0.04,0.06,0.048,263.3,0,5,0,0,0,0,0,0,0,0,0.766,0.194,-1.677,-1.709,16.5,289.7,0.572,0.032,0.253,-0.911,-1.515,0.605,397.4,397.4,-1.76,1.818,-3.838,-3.767,17.15,290.3,-3.578,-0.071,-1.033,-5.598,-1.949,-3.649,398.8,398.9,1.047,-1.025,-1.137,-1.1,16.96,290.1,2.072,-0.036,-0.979,-0.09,-2.125,2.035,400.5,400.5,14.65,14.68,14.63,14.64,0.017,15.15,15.19,15.1,15.19,0.029
"2023-05-11 11:14:00",5,12.57,17.72,12.61,18.09,18.11,17.98,18.05,14.29,14.22,14.32,55.73,55.66,55.78,12,0.066,0.13,0.02,0.13,0.066,21.3,0,5,0,0,0,0,0,0,0,0,0.712,0.184,-1.729,-1.781,16.5,289.6,0.528,0.052,0.259,-1.017,-1.597,0.58,397.4,397.3,-1.758,1.715,-3.873,-3.906,17.15,290.3,-3.473,0.033,-0.975,-5.631,-2.191,-3.44,398.8,398.8,0.975,-1.027,-1.192,-1.13,16.96,290.1,2.002,-0.062,-1.055,-0.217,-2.157,1.94,400.5,400.5,14.67,14.68,14.66,14.68,0.01,15.14,15.17,15.12,15.12,0.024
"2023-05-11 11:14:10",6,12.58,17.72,12.61,18.09,18.12,17.99,18.06,14.32,14.21,14.44,55.71,55.67,55.83,22,0.14,0.14,0.12,0.17,0.14,8.4,0,5,0,0,0,0,0,0,0,0,0.707,0.241,-1.762,-1.839,16.51,289.7,0.465,0.076,0.34,-1.056,-1.598,0.542,397.4,397.3,-1.755,1.616,-3.929,-3.999,17.16,290.3,-3.37,0.07,-0.921,-5.684,-2.383,-3.3,398.8,398.7,0.953,-0.969,-1.201,-1.154,16.97,290.1,1.922,-0.047,-1.018,-0.249,-2.124,1.875,400.5,400.6,14.73,14.77,14.7,14.75,0.027,15.02,15.07,14.97,14.97,0.032
"2023-05-11 11:14:20",7,12.58,17.72,12.61,18.1,18.12,17.99,18.06,14.25,14.21,14.33,55.61,55.57,55.68,18,0.226,0.26,0.18,0.26,0.226,18.8,0,5,0,0,0,0,0,0,0,0,0.718,0.274,-1.758,-1.797,16.51,289.7,0.445,0.039,0.379,-1.04,-1.523,0.483,397.4,397.4,-1.748,1.525,-3.909,-4.05,17.15,290.3,-3.273,0.141,-0.872,-5.657,-2.525,-3.132,398.8,398.7,0.913,-0.938,-1.167,-1.178,16.97,290.1,1.85,0.011,-1.032,-0.255,-2.116,1.861,400.5,400.5,14.76,14.8,14.73,14.8,0.023,14.94,14.96,14.92,14.96,0.014
"2023-05-11 11:14:30",8,12.59,17.73,12.61,18.1,18.12,17.99,18.07,14.34,14.31,14.4,55.64,55.61,55.67,87,0.162,0.21,0.1,0.22,0.162,75.19,0,5,0,0,0,0,0,0,0,0,0.539,0.103,-1.744,-1.798,16.51,289.7,0.436,0.055,0.187,-1.205,-1.695,0.49,397.4,397.3,-1.746,1.425,-4.001,-4.105,17.16,290.3,-3.171,0.105,-0.816,-5.747,-2.681,-3.066,398.8,398.6,0.75,-1.057,-1.116,-1.197,16.97,290.1,1.807,0.081,-1.414,-0.366,-2.254,1.888,400.6,400.5,14.82,14.83,14.8,14.8,0.01,14.88,14.94,14.79,14.79,0.05
